WKT,name,description
"LINESTRING (-101.8741954 33.5855984, -101.8741959 33.5855504)", Line 245,
"LINESTRING (-101.8741959 33.5855504, -101.8741976 33.585289)", Line 246,
"LINESTRING (-101.8741976 33.585289, -101.8741974 33.5852086)", Line 247,
"LINESTRING (-101.8742801 33.5851398, -101.8742297 33.5851186)", Line 248,
"LINESTRING (-101.8742297 33.5851186, -101.8741984 33.5851003)", Line 249,
"LINESTRING (-101.8741984 33.5851003, -101.8741895 33.5850951)", Line 250,
"LINESTRING (-101.8741895 33.5850951, -101.8741593 33.585075)", Line 251,
"LINESTRING (-101.8741593 33.585075, -101.8741426 33.5850678)", Line 252,
"LINESTRING (-101.8741426 33.5850678, -101.8741131 33.5850672)", Line 253,
"LINESTRING (-101.8741131 33.5850672, -101.8740815 33.5850638)", Line 254,
"LINESTRING (-101.8740815 33.5850638, -101.8740561 33.585051)", Line 255,
"LINESTRING (-101.8740561 33.585051, -101.8740209 33.5850214)", Line 256,
"LINESTRING (-101.8740209 33.5850214, -101.8740062 33.5850091)", Line 257,
"LINESTRING (-101.8740062 33.5850091, -101.8739857 33.5849904)", Line 258,
"LINESTRING (-101.8739857 33.5849904, -101.8739397 33.5849429)", Line 259,
"LINESTRING (-101.8739397 33.5849429, -101.8739089 33.5849085)", Line 260,
"LINESTRING (-101.8739089 33.5849085, -101.8739012 33.5848999)", Line 261,
"LINESTRING (-101.8739012 33.5848999, -101.8738861 33.5848801)", Line 262,
"LINESTRING (-101.8738861 33.5848801, -101.8738666 33.5848496)", Line 263,
"LINESTRING (-101.8738666 33.5848496, -101.8738522 33.5848222)", Line 264,
"LINESTRING (-101.8738522 33.5848222, -101.8738469 33.584801)", Line 265,
"LINESTRING (-101.8738469 33.584801, -101.8738412 33.5847823)", Line 266,
"LINESTRING (-101.8738412 33.5847823, -101.8738351 33.5847664)", Line 267,
"LINESTRING (-101.8738351 33.5847664, -101.8738288 33.5847549)", Line 268,
"LINESTRING (-101.8738288 33.5847549, -101.8738187 33.5847412)", Line 269,
"LINESTRING (-101.8738187 33.5847412, -101.8738006 33.5847267)", Line 270,
"LINESTRING (-101.8738006 33.5847267, -101.8737872 33.5847175)", Line 271,
"LINESTRING (-101.8737872 33.5847175, -101.8737577 33.5847055)", Line 272,
"LINESTRING (-101.8737577 33.5847055, -101.8737319 33.5846985)", Line 273,
"LINESTRING (-101.8737319 33.5846985, -101.8737054 33.5846926)", Line 274,
"LINESTRING (-101.8737054 33.5846926, -101.8736789 33.5846887)", Line 275,
"LINESTRING (-101.8736789 33.5846887, -101.8736625 33.5846879)", Line 276,
"LINESTRING (-101.8736625 33.5846879, -101.8736484 33.584691)", Line 277,
"LINESTRING (-101.8736484 33.584691, -101.8736198 33.5846919)", Line 278,
"LINESTRING (-101.8736198 33.5846919, -101.8736192 33.5846462)", Line 279,
"LINESTRING (-101.8736192 33.5846462, -101.8736209 33.5846023)", Line 280,
"LINESTRING (-101.8715228 33.5856917, -101.8715174 33.585361)", Line 281,
"LINESTRING (-101.8715174 33.585361, -101.871494 33.5853609)", Line 282,
"LINESTRING (-101.8723865 33.5850347, -101.8723409 33.5849878)", Line 283,
"LINESTRING (-101.8723409 33.5849878, -101.8723078 33.5849466)", Line 284,
"LINESTRING (-101.8723078 33.5849466, -101.8722838 33.5849008)", Line 285,
"LINESTRING (-101.8718338 33.584786, -101.8718292 33.5851284)", Line 286,
"LINESTRING (-101.8739089 33.5849085, -101.8738939 33.5849208)", Line 287,
"LINESTRING (-101.8738939 33.5849208, -101.8736514 33.5851228)", Line 288,
"LINESTRING (-101.8740131 33.5847423, -101.8740103 33.5847433)", Line 289,
"LINESTRING (-101.8740103 33.5847433, -101.8739617 33.5847621)", Line 290,
"LINESTRING (-101.8739617 33.5847621, -101.8739515 33.584766)", Line 291,
"LINESTRING (-101.8739515 33.584766, -101.8738469 33.584801)", Line 292,
"LINESTRING (-101.8738469 33.584801, -101.8738028 33.5848399)", Line 293,
"LINESTRING (-101.8738028 33.5848399, -101.87365 33.5848972)", Line 294,
"LINESTRING (-101.87365 33.5848972, -101.8735236 33.5849568)", Line 295,
"LINESTRING (-101.8735236 33.5849568, -101.8734029 33.5850195)", Line 296,
