WKT,name,description
"POINT (-101.8811720 33.5815271)", Start or End node Name 325 ,
"POINT (-101.8811831 33.5820115)", Start or End node Name 326 ,
"POINT (-101.8813162 33.5818651)", Start or End node Name 327 ,
"POINT (-101.8808084 33.5825743)", Start or End node Name 328 ,
"POINT (-101.8813572 33.5824947)", Start or End node Name 329 ,
"POINT (-101.8808036 33.5821082)", Start or End node Name 330 ,
"POINT (-101.8813351 33.5821458)", Start or End node Name 331 ,
"POINT (-101.8804672 33.5821650)", Start or End node Name 332 ,
"POINT (-101.8807546 33.5819651)", Start or End node Name 333 ,
"POINT (-101.8807914 33.5823018)", Start or End node Name 334 ,
"POINT (-101.8813572 33.5824947)", Start or End node Name 335 ,
"POINT (-101.8732531 33.5820918)", Start or End node Name 336 ,
"POINT (-101.8803412 33.5821741)", Start or End node Name 337 ,
"POINT (-101.8798661 33.5825790)", Start or End node Name 338 ,
"POINT (-101.8804672 33.5821650)", Start or End node Name 339 ,
"POINT (-101.8806083 33.5825778)", Start or End node Name 340 ,
"POINT (-101.8801010 33.5818687)", Start or End node Name 341 ,
"POINT (-101.8789127 33.5816545)", Start or End node Name 342 ,
"POINT (-101.8789121 33.5817087)", Start or End node Name 343 ,
"POINT (-101.8745722 33.5821029)", Start or End node Name 344 ,
"POINT (-101.8794075 33.5836204)", Start or End node Name 345 ,
"POINT (-101.8801773 33.5836725)", Start or End node Name 346 ,
"POINT (-101.8800693 33.5834336)", Start or End node Name 347 ,
"POINT (-101.8790383 33.5826027)", Start or End node Name 348 ,
"POINT (-101.8815350 33.5831798)", Start or End node Name 349 ,
"POINT (-101.8814564 33.5832111)", Start or End node Name 350 ,
"POINT (-101.8816039 33.5833285)", Start or End node Name 351 ,
"POINT (-101.8755642 33.5828492)", Start or End node Name 352 ,
"POINT (-101.8755895 33.5825229)", Start or End node Name 353 ,
"POINT (-101.8755854 33.5823748)", Start or End node Name 354 ,
"POINT (-101.8786118 33.5824678)", Start or End node Name 355 ,
"POINT (-101.8787512 33.5825732)", Start or End node Name 356 ,
"POINT (-101.8788204 33.5824230)", Start or End node Name 357 ,
"POINT (-101.8787529 33.5826665)", Start or End node Name 358 ,
"POINT (-101.8816787 33.5835807)", Start or End node Name 359 ,
"POINT (-101.8813968 33.5840812)", Start or End node Name 360 ,
"POINT (-101.8814961 33.5839049)", Start or End node Name 361 ,
"POINT (-101.8797548 33.5829972)", Start or End node Name 362 ,
"POINT (-101.8800446 33.5828884)", Start or End node Name 363 ,
"POINT (-101.8801345 33.5828795)", Start or End node Name 364 ,
"POINT (-101.8818238 33.5842646)", Start or End node Name 365 ,
"POINT (-101.8806981 33.5837128)", Start or End node Name 366 ,
"POINT (-101.8810613 33.5839359)", Start or End node Name 367 ,
"POINT (-101.8808194 33.5840168)", Start or End node Name 368 ,
"POINT (-101.8807309 33.5838010)", Start or End node Name 369 ,
"POINT (-101.8796817 33.5852754)", Start or End node Name 370 ,
"POINT (-101.8808847 33.5838597)", Start or End node Name 371 ,
"POINT (-101.8808098 33.5839948)", Start or End node Name 372 ,
"POINT (-101.8774282 33.5816455)", Start or End node Name 373 ,
"POINT (-101.8781790 33.5808633)", Start or End node Name 374 ,
"POINT (-101.8774228 33.5808631)", Start or End node Name 375 ,
"POINT (-101.8771842 33.5808652)", Start or End node Name 376 ,
"POINT (-101.8774228 33.5808631)", Start or End node Name 377 ,
"POINT (-101.8774075 33.5799000)", Start or End node Name 378 ,
"POINT (-101.8774121 33.5801917)", Start or End node Name 379 ,
"POINT (-101.8767733 33.5801951)", Start or End node Name 380 ,
"POINT (-101.8771609 33.5803678)", Start or End node Name 381 ,
"POINT (-101.8774106 33.5800933)", Start or End node Name 382 ,
"POINT (-101.8771587 33.5800933)", Start or End node Name 383 ,
"POINT (-101.8767729 33.5800946)", Start or End node Name 384 ,
"POINT (-101.8822575 33.5790649)", Start or End node Name 385 ,
"POINT (-101.8816647 33.5795259)", Start or End node Name 386 ,
"POINT (-101.8818513 33.5794072)", Start or End node Name 387 ,
"POINT (-101.8846898 33.5785621)", Start or End node Name 388 ,
"POINT (-101.8818562 33.5790691)", Start or End node Name 389 ,
"POINT (-101.8822575 33.5790649)", Start or End node Name 390 ,
"POINT (-101.8828713 33.5794147)", Start or End node Name 391 ,
"POINT (-101.8818427 33.5794147)", Start or End node Name 392 ,
"POINT (-101.8774133 33.5850691)", Start or End node Name 393 ,
"POINT (-101.8767419 33.5848318)", Start or End node Name 394 ,
"POINT (-101.8771779 33.5816573)", Start or End node Name 395 ,
"POINT (-101.8771842 33.5808652)", Start or End node Name 396 ,
"POINT (-101.8771676 33.5808633)", Start or End node Name 397 ,
"POINT (-101.8769204 33.5807359)", Start or End node Name 398 ,
"POINT (-101.8738617 33.5841481)", Start or End node Name 399 ,
"POINT (-101.8732941 33.5841528)", Start or End node Name 400 ,
"POINT (-101.8737827 33.5836138)", Start or End node Name 401 ,
"POINT (-101.8738018 33.5842054)", Start or End node Name 402 ,
"POINT (-101.8724406 33.5843577)", Start or End node Name 403 ,
"POINT (-101.8724422 33.5847954)", Start or End node Name 404 ,
"POINT (-101.8733415 33.5838826)", Start or End node Name 405 ,
"POINT (-101.8713383 33.5839042)", Start or End node Name 406 ,
"POINT (-101.8721314 33.5841591)", Start or End node Name 407 ,
"POINT (-101.8721300 33.5838819)", Start or End node Name 408 ,
"POINT (-101.8721300 33.5838819)", Start or End node Name 409 ,
"POINT (-101.8724296 33.5836763)", Start or End node Name 410 ,
"POINT (-101.8712250 33.5838569)", Start or End node Name 411 ,
